Id,Prediction
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,1
